,xgb_oof_score
ENSP00000275857,0.8660702109336853
ENSP00000274547,0.9562360048294067
ENSP00000284049,0.979498565196991
ENSP00000442518,0.9981005787849426
ENSP00000293441,0.8732302784919739
ENSP00000362330,0.1994805485010147
ENSP00000354541,0.994249701499939
ENSP00000263269,0.4369644224643707
ENSP00000290663,0.04228048771619797
ENSP00000264426,0.9715315103530884
ENSP00000268711,0.1148897260427475
ENSP00000265350,0.12363632768392563
ENSP00000382791,0.28046634793281555
ENSP00000222270,0.18823228776454926
ENSP00000254846,0.9994146823883057
ENSP00000264357,0.9132116436958313
ENSP00000332549,0.9663474559783936
ENSP00000369716,0.9628291726112366
ENSP00000301067,0.7190131545066833
ENSP00000355192,0.4957985579967499
ENSP00000256379,0.3705158531665802
ENSP00000455307,0.7528109550476074
ENSP00000258648,0.3503892421722412
ENSP00000377686,0.6064470410346985
ENSP00000293777,0.009908611886203289
ENSP00000360608,0.9377851486206055
ENSP00000221485,0.9367319345474243
ENSP00000328939,0.3431280553340912
ENSP00000293190,0.38106778264045715
ENSP00000363193,0.6100506782531738
ENSP00000438949,0.7557410597801208
ENSP00000263205,0.6132684350013733
ENSP00000366271,0.2779136002063751
ENSP00000217964,0.8128983974456787
ENSP00000262519,0.8448498845100403
ENSP00000323720,0.49834445118904114
ENSP00000362948,0.12609750032424927
ENSP00000326767,0.1265614628791809
ENSP00000225916,0.3333357274532318
ENSP00000251871,0.21635691821575165
ENSP00000269127,0.0151816476136446
ENSP00000325612,0.3300255239009857
ENSP00000346534,0.9759648442268372
ENSP00000374212,0.8457260727882385
ENSP00000316377,0.7921438217163086
ENSP00000246112,0.09962111711502075
ENSP00000280772,0.4078206717967987
ENSP00000363003,0.22779907286167145
ENSP00000255764,0.24010500311851501
ENSP00000279593,0.996653139591217
ENSP00000300105,0.8249276280403137
ENSP00000362674,0.03408711031079292
ENSP00000311816,0.22531531751155853
ENSP00000355155,0.6823157072067261
ENSP00000360163,0.5003468990325928
ENSP00000364550,0.5241879224777222
ENSP00000378307,0.2518390119075775
ENSP00000432786,0.6670156717300415
ENSP00000358262,0.12995214760303497
ENSP00000372169,0.5896613001823425
ENSP00000410732,0.9383478164672852
ENSP00000264463,0.9091491103172302
ENSP00000352011,0.9762516021728516
ENSP00000352035,0.993999719619751
ENSP00000385722,0.3754465579986572
ENSP00000393453,0.19304783642292023
ENSP00000231021,0.7778685688972473
ENSP00000257745,0.9427424669265747
ENSP00000282499,0.880966067314148
ENSP00000301180,0.5354931354522705
ENSP00000305288,0.8450266122817993
ENSP00000392028,0.9394048452377319
ENSP00000264183,0.4663524925708771
ENSP00000400258,0.7695609331130981
ENSP00000297347,0.07105123996734619
ENSP00000347602,0.28137508034706116
ENSP00000286317,0.03904818743467331
ENSP00000283131,0.25843581557273865
ENSP00000382688,0.48585960268974304
ENSP00000262953,0.13317182660102844
ENSP00000283254,0.6364696621894836
ENSP00000370710,0.3069759011268616
ENSP00000234389,0.21329540014266968
ENSP00000266376,0.6003439426422119
ENSP00000265459,0.9690003395080566
ENSP00000264951,0.10255097597837448
ENSP00000267197,0.6469407677650452
ENSP00000274031,0.2723102569580078
ENSP00000364687,0.32706165313720703
ENSP00000239027,0.07537778466939926
ENSP00000270458,0.41162410378456116
ENSP00000314343,0.14022371172904968
ENSP00000218343,0.24774493277072906
ENSP00000264515,0.3673394024372101
ENSP00000386759,0.8820229172706604
ENSP00000446880,0.46775612235069275
ENSP00000265709,0.6625487804412842
ENSP00000297792,0.46298375725746155
ENSP00000334382,0.46685555577278137
ENSP00000349508,0.6188360452651978
ENSP00000266744,0.4122631251811981
ENSP00000278823,0.40953314304351807
ENSP00000307208,0.7162511944770813
ENSP00000349076,0.6195419430732727
ENSP00000023897,0.9844565987586975
ENSP00000261205,0.9489865899085999
ENSP00000304360,0.09687870740890503
ENSP00000417980,0.9199312329292297
ENSP00000263160,0.7575975060462952
ENSP00000328879,0.27512603998184204
ENSP00000331310,0.2495923489332199
ENSP00000349723,0.7710757851600647
ENSP00000357982,0.5228323936462402
ENSP00000292035,0.41106122732162476
ENSP00000383042,0.3898991346359253
ENSP00000295454,0.783475935459137
ENSP00000362649,0.6910747289657593
ENSP00000263377,0.17193713784217834
ENSP00000265773,0.796392560005188
ENSP00000295055,0.31376251578330994
ENSP00000336543,0.1356147676706314
ENSP00000359321,0.28721144795417786
ENSP00000362183,0.9573808312416077
ENSP00000367323,0.31182950735092163
ENSP00000369666,0.12493330985307693
ENSP00000397026,0.9621830582618713
ENSP00000271640,0.2213827520608902
ENSP00000296452,0.8610638380050659
ENSP00000301050,0.7346170544624329
ENSP00000302967,0.048287540674209595
ENSP00000340737,0.0885615348815918
ENSP00000350720,0.9287685751914978
ENSP00000353458,0.5483041405677795
ENSP00000369325,0.7186203598976135
ENSP00000434364,0.34684714674949646
ENSP00000353622,0.8604162335395813
ENSP00000222212,0.4609072506427765
ENSP00000282030,0.9692217111587524
ENSP00000359506,0.7489646673202515
ENSP00000005284,0.8248461484909058
ENSP00000260129,0.2649911046028137
ENSP00000338349,0.9890633225440979
