,xgb_oof_score
ENSP00000275857,0.959446668624878
ENSP00000274547,0.9562360048294068
ENSP00000284049,0.979498565196991
ENSP00000442518,0.9981005787849426
ENSP00000293441,0.8318586945533752
ENSP00000362330,0.1994805485010147
ENSP00000354541,0.9881678223609924
ENSP00000263269,0.4369644224643707
ENSP00000290663,0.0422804877161979
ENSP00000264426,0.9715315103530884
ENSP00000268711,0.1148897260427475
ENSP00000265350,0.1236363276839256
ENSP00000382791,0.2804663479328155
ENSP00000222270,0.1882322877645492
ENSP00000254846,0.9979300498962402
ENSP00000264357,0.9132116436958312
ENSP00000332549,0.9470341801643372
ENSP00000369716,0.9628291726112366
ENSP00000301067,0.7190131545066833
ENSP00000355192,0.4957985579967499
ENSP00000256379,0.3705158531665802
ENSP00000455307,0.7528109550476074
ENSP00000258648,0.3503892421722412
ENSP00000377686,0.6064470410346985
ENSP00000293777,0.0099086118862032
ENSP00000360608,0.9153662919998168
ENSP00000221485,0.9367319345474244
ENSP00000328939,0.0837247148156166
ENSP00000293190,0.5787367224693298
ENSP00000363193,0.7513514757156372
ENSP00000438949,0.7557410597801208
ENSP00000263205,0.6132684350013733
ENSP00000366271,0.2779136002063751
ENSP00000217964,0.5954444408416748
ENSP00000262519,0.8448498845100403
ENSP00000323720,0.4983444511890411
ENSP00000362948,0.1260975003242492
ENSP00000326767,0.2415556907653808
ENSP00000225916,0.3333357274532318
ENSP00000251871,0.170643076300621
ENSP00000269127,0.0151816476136446
ENSP00000325612,0.3300255239009857
ENSP00000346534,0.9846828579902648
ENSP00000374212,0.8992224335670471
ENSP00000316377,0.894446074962616
ENSP00000246112,0.0996211171150207
ENSP00000280772,0.6274278163909912
ENSP00000363003,0.2277990728616714
ENSP00000255764,0.240105003118515
ENSP00000279593,0.996653139591217
ENSP00000300105,0.8249276280403137
ENSP00000362674,0.0340871103107929
ENSP00000311816,0.2253153175115585
ENSP00000355155,0.6823157072067261
ENSP00000360163,0.5003468990325928
ENSP00000364550,0.412998765707016
ENSP00000378307,0.2518390119075775
ENSP00000432786,0.7823727130889893
ENSP00000358262,0.1299521476030349
ENSP00000372169,0.5896613001823425
ENSP00000410732,0.9383478164672852
ENSP00000264463,0.9503234028816224
ENSP00000352011,0.963064432144165
ENSP00000352035,0.984801948070526
ENSP00000385722,0.3754465579986572
ENSP00000393453,0.3004643321037292
ENSP00000231021,0.8551496267318726
ENSP00000257745,0.9435532093048096
ENSP00000282499,0.880966067314148
ENSP00000301180,0.5354931354522705
ENSP00000305288,0.7312161326408386
ENSP00000392028,0.8608566522598267
ENSP00000264183,0.3708083033561706
ENSP00000400258,0.6111999154090881
ENSP00000297347,0.0710512399673461
ENSP00000347602,0.4828334748744964
ENSP00000286317,0.0390481874346733
ENSP00000283131,0.2584358155727386
ENSP00000382688,0.485859602689743
ENSP00000262953,0.1331718266010284
ENSP00000283254,0.4564238786697387
ENSP00000370710,0.3069759011268616
ENSP00000234389,0.2132954001426696
ENSP00000266376,0.8301405310630798
ENSP00000265459,0.9585447907447816
ENSP00000264951,0.2904049456119537
ENSP00000267197,0.6469407677650452
ENSP00000274031,0.2723102569580078
ENSP00000364687,0.327061653137207
ENSP00000239027,0.0753777846693992
ENSP00000270458,0.4116241037845611
ENSP00000314343,0.0995037853717804
ENSP00000218343,0.247744932770729
ENSP00000264515,0.4913485944271087
ENSP00000386759,0.8615320324897766
ENSP00000446880,0.4677561223506927
ENSP00000265709,0.6625487804412842
ENSP00000297792,0.4629837572574615
ENSP00000334382,0.658447265625
ENSP00000349508,0.6188360452651978
ENSP00000266744,0.0713695958256721
ENSP00000278823,0.409533143043518
ENSP00000307208,0.7162511944770813
ENSP00000349076,0.6195419430732727
ENSP00000023897,0.9844565987586976
ENSP00000261205,0.954534947872162
ENSP00000304360,0.096878707408905
ENSP00000417980,0.905032515525818
ENSP00000263160,0.7575975060462952
ENSP00000328879,0.275126039981842
ENSP00000331310,0.2495923489332199
ENSP00000349723,0.7710757851600647
ENSP00000357982,0.5228323936462402
ENSP00000292035,0.4110612273216247
ENSP00000383042,0.4485322833061218
ENSP00000295454,0.783475935459137
ENSP00000362649,0.6910747289657593
ENSP00000263377,0.1925471574068069
ENSP00000265773,0.5189647674560547
ENSP00000295055,0.3137625157833099
ENSP00000336543,0.1356147676706314
ENSP00000359321,0.2872114479541778
ENSP00000362183,0.9641473293304444
ENSP00000367323,0.3118295073509216
ENSP00000369666,0.1249333098530769
ENSP00000397026,0.9749042987823486
ENSP00000271640,0.1432590782642364
ENSP00000296452,0.8610638380050659
ENSP00000301050,0.7346170544624329
ENSP00000302967,0.0482875406742095
ENSP00000340737,0.0885615348815918
ENSP00000350720,0.9315892457962036
ENSP00000353458,0.5483041405677795
ENSP00000369325,0.797366201877594
ENSP00000434364,0.3468471467494964
ENSP00000353622,0.8941110372543335
ENSP00000222212,0.4609072506427765
ENSP00000282030,0.9861132502555848
ENSP00000359506,0.7334915995597839
ENSP00000005284,0.8248461484909058
ENSP00000260129,0.2649911046028137
ENSP00000338349,0.9914543628692628
ENSP00000344786,0.9133039116859436
ENSP00000349465,0.2614797949790954
ENSP00000350676,0.6971668601036072
ENSP00000353643,0.1695912629365921
ENSP00000411593,0.3868727385997772
ENSP00000261523,0.6480915546417236
ENSP00000262138,0.7761560678482056
ENSP00000303092,0.4537757933139801
ENSP00000357907,0.2342333197593689
ENSP00000379144,0.7962466478347778
ENSP00000399982,0.191884160041809
ENSP00000412673,0.1827623546123504
ENSP00000243457,0.6615219712257385
ENSP00000264318,0.8878107666969299
ENSP00000288135,0.0557419806718826
ENSP00000313881,0.3326045870780945
ENSP00000333277,0.1916937381029129
ENSP00000216267,0.6985267996788025
ENSP00000290921,0.514075517654419
ENSP00000296122,0.5273767709732056
ENSP00000326477,0.0620385110378265
ENSP00000365877,0.27182537317276
ENSP00000369131,0.599868655204773
ENSP00000430432,0.0447282642126083
ENSP00000215095,0.4246448576450348
ENSP00000320147,0.6464464068412781
ENSP00000333024,0.7463686466217041
ENSP00000365682,0.3458199203014374
ENSP00000459789,0.1903919577598571
ENSP00000367570,0.0531852059066295
ENSP00000371985,0.6567739844322205
ENSP00000280097,0.174001857638359
ENSP00000254480,0.5431202054023743
ENSP00000282493,0.8423970341682434
ENSP00000300651,0.3318104147911072
ENSP00000303540,0.9995903372764589
ENSP00000320246,0.4741103947162628
ENSP00000364591,0.6100509166717529
ENSP00000370109,0.2125247418880462
ENSP00000251900,0.3291065990924835
ENSP00000259050,0.1637991368770599
ENSP00000319591,0.9564082622528076
ENSP00000250615,0.1470801532268524
ENSP00000262144,0.2807700932025909
ENSP00000265562,0.1377982497215271
ENSP00000319104,0.5123047828674316
ENSP00000320025,0.4568225741386413
ENSP00000341805,0.1496195346117019
ENSP00000368332,0.5841060280799866
ENSP00000369424,0.1632729768753051
ENSP00000378451,0.4897587299346924
ENSP00000404658,0.4329059720039367
ENSP00000417401,0.1764473915100097
ENSP00000268712,0.9086097478866576
ENSP00000338629,0.8256665468215942
ENSP00000355778,0.0635926872491836
ENSP00000398824,0.9378808736801147
ENSP00000295066,0.0559251047670841
ENSP00000306983,0.1601833701133728
ENSP00000344087,0.9970230460166932
ENSP00000225396,0.1209924817085266
ENSP00000262608,0.2649820744991302
ENSP00000265969,0.9605900645256042
ENSP00000316578,0.2755697965621948
ENSP00000325690,0.4091542363166809
ENSP00000350549,0.1178372055292129
ENSP00000362592,0.0657126381993293
ENSP00000372347,0.9261272549629213
ENSP00000373648,0.9723162651062012
ENSP00000262367,0.9877493977546692
ENSP00000290332,0.2838474214076996
ENSP00000323967,0.8162323832511902
ENSP00000222812,0.5840034484863281
ENSP00000238112,0.0857019498944282
ENSP00000247843,0.0882427617907524
ENSP00000263253,0.8154854774475098
ENSP00000311825,0.1210304945707321
ENSP00000333496,0.9198790788650512
ENSP00000338283,0.8532103300094604
ENSP00000367848,0.5203843116760254
ENSP00000218075,0.8395857214927673
ENSP00000328150,0.5785492658615112
ENSP00000366404,0.1336863487958908
ENSP00000386520,0.1873297393321991
ENSP00000215829,0.0749057009816169
ENSP00000254810,0.1841387301683426
ENSP00000301730,0.1153386533260345
ENSP00000318799,0.1962069720029831
ENSP00000328968,0.4908328354358673
ENSP00000340507,0.5042294859886169
ENSP00000349022,0.3758020997047424
ENSP00000354504,0.9794476628303528
ENSP00000363944,0.1085788831114769
ENSP00000367756,0.1936562955379486
ENSP00000216513,0.1869041174650192
ENSP00000295987,0.5370251536369324
ENSP00000348708,0.5791296362876892
ENSP00000350310,0.2594415545463562
ENSP00000373340,0.5623915195465088
ENSP00000373772,0.3372271656990051
ENSP00000307342,0.4447420835494995
ENSP00000312244,0.1639666408300399
ENSP00000337510,0.6656877398490906
ENSP00000350941,0.0464610606431961
ENSP00000386200,0.6611326336860657
ENSP00000040584,0.1011013835668563
ENSP00000308741,0.7302418351173401
ENSP00000335084,0.178163394331932
ENSP00000358154,0.101211093366146
ENSP00000365441,0.5597587823867798
ENSP00000381412,0.9184987545013428
ENSP00000390475,0.2292435467243194
ENSP00000418379,0.1042616814374923
ENSP00000256429,0.4021153450012207
ENSP00000313983,0.5531623959541321
ENSP00000349320,0.9193456768989564
ENSP00000350928,0.8523089289665222
ENSP00000364037,0.1407636404037475
ENSP00000370938,0.4081266820430755
ENSP00000387699,0.7750982642173767
ENSP00000392466,0.7349449992179871
ENSP00000216271,0.0485197827219963
ENSP00000222256,0.4998116493225097
ENSP00000293813,0.8153597712516785
ENSP00000310006,0.6110023856163025
ENSP00000329357,0.266299158334732
ENSP00000340330,0.3650208413600921
ENSP00000359334,0.6235613226890564
ENSP00000369270,0.381160169839859
ENSP00000374036,0.8828611969947815
ENSP00000384273,0.1830393821001052
ENSP00000418081,0.834394097328186
ENSP00000251020,0.5465935468673706
ENSP00000261168,0.3488289713859558
ENSP00000296755,0.6788480877876282
ENSP00000303252,0.8886467814445496
ENSP00000307183,0.0977861210703849
ENSP00000361473,0.2404123395681381
ENSP00000374280,0.3127860128879547
ENSP00000379098,0.7017537951469421
ENSP00000386165,0.1352557241916656
ENSP00000225504,0.0467226542532444
ENSP00000262848,0.0373586826026439
ENSP00000265354,0.8373513221740723
ENSP00000288309,0.6841393113136292
ENSP00000324172,0.8891536593437195
ENSP00000330381,0.0108771193772554
ENSP00000330633,0.5590453743934631
ENSP00000352252,0.136088490486145
ENSP00000414303,0.492469310760498
ENSP00000156825,0.0733534917235374
ENSP00000225983,0.3686562478542328
ENSP00000262188,0.2706326246261596
ENSP00000269385,0.5977091193199158
ENSP00000346997,0.1322063207626342
ENSP00000357047,0.1563708186149597
ENSP00000385479,0.095574215054512
ENSP00000386171,0.5023857951164246
ENSP00000387982,0.0269701443612575
ENSP00000428982,0.2508798241615295
ENSP00000217420,0.3567668795585632
ENSP00000252729,0.0871628746390342
ENSP00000253925,0.7290870547294617
ENSP00000353331,0.5225335955619812
ENSP00000354490,0.7128925919532776
ENSP00000419266,0.1957726627588272
ENSP00000257552,0.1567809134721756
ENSP00000277541,0.8523417711257935
ENSP00000307321,0.1995906084775924
ENSP00000314520,0.8136357069015503
ENSP00000323659,0.9044906497001648
ENSP00000328547,0.4058358669281006
ENSP00000333633,0.4446022808551788
ENSP00000339004,0.7958554029464722
ENSP00000348298,0.0456484816968441
ENSP00000351894,0.7341923713684082
ENSP00000354158,0.8045094013214111
ENSP00000355533,0.847328245639801
ENSP00000402861,0.0867619439959526
ENSP00000407818,0.829831063747406
ENSP00000453144,0.762703001499176
ENSP00000264720,0.1085763946175575
ENSP00000265593,0.1009910479187965
ENSP00000275493,0.4135377407073974
ENSP00000295452,0.4568936824798584
ENSP00000305918,0.4269386827945709
ENSP00000306754,0.3019276857376098
ENSP00000309823,0.255445659160614
ENSP00000315615,0.5105333924293518
ENSP00000335592,0.6120602488517761
ENSP00000350333,0.1293218582868576
ENSP00000352980,0.2656834125518799
ENSP00000365272,0.9860228300094604
ENSP00000378702,0.5939328074455261
ENSP00000000442,0.1842979043722152
ENSP00000229307,0.3208552598953247
ENSP00000261302,0.6023072600364685
ENSP00000261438,0.0856586992740631
ENSP00000263207,0.475172609090805
ENSP00000274545,0.3497808277606964
ENSP00000314080,0.3283260464668274
ENSP00000325677,0.7443420886993408
ENSP00000328511,0.6672497391700745
ENSP00000340896,0.0733288303017616
ENSP00000345751,0.4594540894031524
ENSP00000363313,0.1442468613386154
ENSP00000381590,0.2379789054393768
ENSP00000261769,0.3534434139728546
ENSP00000265990,0.3548870980739593
ENSP00000271751,0.965193212032318
ENSP00000298875,0.0720589384436607
ENSP00000306138,0.8296226263046265
ENSP00000321427,0.6752027273178101
ENSP00000324806,0.4704429805278778
ENSP00000328973,0.0181479230523109
ENSP00000340684,0.6634826064109802
ENSP00000350028,0.7603147625923157
ENSP00000355657,0.3823719024658203
ENSP00000362677,0.0277493447065353
ENSP00000363500,0.1358319073915481
ENSP00000368880,0.4056947231292724
ENSP00000420294,0.5014328360557556
ENSP00000441462,0.9879904389381408
ENSP00000209875,0.4328312873840332
ENSP00000215832,0.6118568181991577
ENSP00000216200,0.3298501074314117
ENSP00000217086,0.1772193610668182
ENSP00000249499,0.0896874442696571
ENSP00000261726,0.8543069958686829
ENSP00000306245,0.5499392151832581
ENSP00000329623,0.0342337265610694
ENSP00000332293,0.0031196109484881
ENSP00000347710,0.4335449337959289
ENSP00000359128,0.1343334019184112
ENSP00000360806,0.9733495712280272
ENSP00000361418,0.4154219031333923
ENSP00000362849,0.7309244275093079
ENSP00000368314,0.7043684124946594
ENSP00000373354,0.0903920233249664
ENSP00000375067,0.6314611434936523
ENSP00000384490,0.2726987898349762
ENSP00000235090,0.0297774337232112
ENSP00000235180,0.8518953323364258
ENSP00000296921,0.1768476516008377
ENSP00000324693,0.1288503855466842
ENSP00000330320,0.578889012336731
ENSP00000355924,0.1097948998212814
ENSP00000359368,0.194985955953598
ENSP00000363787,0.0525828935205936
ENSP00000365735,0.6191052794456482
ENSP00000380692,0.0775954201817512
ENSP00000405965,0.062275443226099
ENSP00000408617,0.623562216758728
ENSP00000438875,0.6011528968811035
ENSP00000215793,0.0840995460748672
ENSP00000252996,0.8820077180862427
ENSP00000265294,0.289868950843811
ENSP00000266070,0.1310220211744308
ENSP00000271348,0.1375098526477813
ENSP00000295082,0.5646573305130005
ENSP00000329189,0.1774386316537857
ENSP00000359074,0.7227497696876526
ENSP00000362300,0.1040007397532463
ENSP00000364448,0.6597580909729004
ENSP00000221561,0.1227818354964256
ENSP00000247178,0.1051087453961372
ENSP00000322898,0.584692120552063
ENSP00000344818,0.1317934691905975
ENSP00000358160,0.1755669116973877
ENSP00000359645,0.1818119585514068
ENSP00000360266,0.1279131025075912
ENSP00000366829,0.7147904634475708
ENSP00000155840,0.1172021999955177
ENSP00000201031,0.5681598782539368
ENSP00000229595,0.0729690119624137
ENSP00000254976,0.448430597782135
ENSP00000263923,0.7100618481636047
ENSP00000269305,0.05024179443717
ENSP00000270202,0.140191838145256
ENSP00000295757,0.1524166464805603
ENSP00000308944,0.0779650062322616
ENSP00000309439,0.066394954919815
ENSP00000323670,0.4473577737808227
ENSP00000347716,0.4396706819534302
ENSP00000371936,0.8787903785705566
ENSP00000377840,0.756892740726471
ENSP00000379602,0.337062656879425
ENSP00000222598,0.5497404932975769
ENSP00000244741,0.4347410202026367
ENSP00000257904,0.0227467082440853
ENSP00000263390,0.1509345471858978
ENSP00000291552,0.0801000967621803
ENSP00000346879,0.2889642715454101
ENSP00000349654,0.8815652132034302
ENSP00000350078,0.1220572516322135
ENSP00000350267,0.3557562828063965
ENSP00000350767,0.4251478016376495
ENSP00000378414,0.2612432837486267
ENSP00000399718,0.195693701505661
ENSP00000417587,0.3812257051467895
ENSP00000417901,0.4836715161800384
ENSP00000418210,0.865885317325592
ENSP00000254079,0.3413012325763702
ENSP00000261917,0.7128785848617554
ENSP00000263121,0.3762595057487488
ENSP00000263846,0.934338629245758
ENSP00000271555,0.6644402742385864
ENSP00000313886,0.0418230667710304
ENSP00000337168,0.7866638898849487
ENSP00000362734,0.2070552855730056
ENSP00000364946,0.402019590139389
ENSP00000366396,0.0536328852176666
ENSP00000080059,0.1626496016979217
