row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
1,7062,"ENSG00000000003","TSPAN6",7105
2,40735,"ENSG00000000005","TNMD",64102
3,8736,"ENSG00000000419","DPM1",8813
4,36423,"ENSG00000000457","SCYL3",57147
5,35021,"ENSG00000000460","C1orf112",55732
6,2253,"ENSG00000000938","FGR",2268
7,3057,"ENSG00000000971","CFH",3075
8,2503,"ENSG00000001036","FUCA2",2519
9,2712,"ENSG00000001084","GCLC",2729
10,4769,"ENSG00000001167","NFYA",4800
11,59935,"ENSG00000001460","C1orf201",90529
12,36461,"ENSG00000001461","NIPAL3",57185
13,57559,"ENSG00000001497","LAS1L",81887
14,22631,"ENSG00000001561","ENPP4",22875
15,6369,"ENSG00000001617","SEMA3F",6405
16,1072,"ENSG00000001626","CFTR",1080
17,33758,"ENSG00000001629","ANKIB1",54467
18,1583,"ENSG00000001630","CYP51A1",1595
19,884,"ENSG00000001631","KRIT1",889
20,5861,"ENSG00000002016","RAD52",5893
21,569,"ENSG00000002330","BAD",572
22,30538,"ENSG00000002549","LAP3",51056
23,4242,"ENSG00000002586","CD99",4267
24,9813,"ENSG00000002587","HS3ST1",9957
25,23,"ENSG00000002726","ABP1",26
26,30865,"ENSG00000002745","WNT16",51384
27,22827,"ENSG00000002746","HECW1",23072
28,8321,"ENSG00000002822","MAD1L1",8379
29,3902,"ENSG00000002834","LASP1",3927
30,29649,"ENSG00000002919","SNX11",29916
31,34654,"ENSG00000002933","TMEM176A",55365
32,4049,"ENSG00000003056","M6PR",4074
33,59880,"ENSG00000003096","KLHL13",90293
34,35883,"ENSG00000003137","CYP26B1",56603
35,3362,"ENSG00000003147","ICA1",3382
36,54847,"ENSG00000003249","DBNDD1",79007
37,36952,"ENSG00000003393","ALS2",57679
38,839,"ENSG00000003400","CASP10",843
39,8760,"ENSG00000003402","CFLAR",8837
40,6993,"ENSG00000003436","TFPI",7035
41,34760,"ENSG00000003509","C2orf56",55471
42,10035,"ENSG00000003756","RBM5",10181
43,8985,"ENSG00000003987","MTMR7",9108
44,6506,"ENSG00000003989","SLC7A2",6542
45,378,"ENSG00000004059","ARF5",381
46,22853,"ENSG00000004139","SARM1",23098
47,22884,"ENSG00000004399","PLXND1",23129
48,201,"ENSG00000004455","AK2",204
49,947,"ENSG00000004468","CD38",952
50,2272,"ENSG00000004478","FKBP4",2288
51,22783,"ENSG00000004487","KDM1",23028
52,10034,"ENSG00000004534","RBM6",10180
53,58464,"ENSG00000004660","CAMKK1",84254
54,5933,"ENSG00000004700","RECQL",5965
55,34899,"ENSG00000004766","CCDC132",55610
56,79143,"ENSG00000004776","HSPB6",126393
57,77694,"ENSG00000004777","SNX26",115703
58,4680,"ENSG00000004779","NDUFAB1",4706
59,5134,"ENSG00000004799","PDK4",5166
60,59572,"ENSG00000004809","SLC22A16",85413
61,30845,"ENSG00000004838","ZMYND10",51364
62,109832,"ENSG00000004846","ABCB5",340273
63,81766,"ENSG00000004848","ARX",170302
64,10020,"ENSG00000004864","SLC25A13",10165
65,7936,"ENSG00000004866","ST7",7982
66,991,"ENSG00000004897","CDC27",996
67,6485,"ENSG00000004939","SLC4A1",6521
68,795,"ENSG00000004948","CALCR",799
69,3035,"ENSG00000004961","HCCS",3052
70,1844,"ENSG00000004975","DVL2",1856
71,40696,"ENSG00000005001","PRSS22",64063
72,5944,"ENSG00000005007","UPF1",5976
73,8856,"ENSG00000005020","SKAP2",8935
74,289,"ENSG00000005022","SLC25A5",292
75,34302,"ENSG00000005059","CCDC109B",55013
76,3187,"ENSG00000005073","HOXA11",3207
77,5407,"ENSG00000005075","POLR2J",5439
78,36198,"ENSG00000005100","DHX33",56919
79,4197,"ENSG00000005102","MEOX1",4222
80,85821,"ENSG00000005108","THSD7A",221981
81,3955,"ENSG00000005156","LIG3",3980
82,55460,"ENSG00000005175","RPAP3",79657
83,6262,"ENSG00000005187","ACSM3",6296
84,57373,"ENSG00000005189","AC004381.2",81691
85,36297,"ENSG00000005194","CIAPIN1",57019
86,36207,"ENSG00000005206","AC004410.1",56928
87,56057,"ENSG00000005238","KIAA1539",80256
88,30708,"ENSG00000005243","COPZ2",51226
89,5545,"ENSG00000005249","PRKAR2B",5577
90,10785,"ENSG00000005302","MSL3",10943
91,1378,"ENSG00000005339","CREBBP",1387
92,9129,"ENSG00000005379","BZRAP1",9256
93,4327,"ENSG00000005381","MPO",4353
94,5412,"ENSG00000005421","PON1",5444
95,6896,"ENSG00000005436","C2orf3",6936
96,58269,"ENSG00000005448","WDR54",84058
97,33968,"ENSG00000005469","CROT",54677
98,5212,"ENSG00000005471","ABCB4",5244
99,35191,"ENSG00000005483","MLL5",55904
100,36688,"ENSG00000005486","RHBDD2",57414
101,29803,"ENSG00000005513","SOX8",30812
102,25747,"ENSG00000005700","IBTK",25998
103,7704,"ENSG00000005801","ZNF195",7748
104,22832,"ENSG00000005810","MYCBP2",23077
105,25973,"ENSG00000005812","FBXL3",26224
106,3658,"ENSG00000005844","ITGAL",3683
107,5132,"ENSG00000005882","PDK2",5164
108,3650,"ENSG00000005884","ITGA3",3675
109,7500,"ENSG00000005889","ZFX",7543
110,3895,"ENSG00000005893","LAMP2",3920
111,55696,"ENSG00000005955","GGNBP2",79893
112,3649,"ENSG00000005961","ITGA2B",3674
113,31146,"ENSG00000005981","ASB4",51666
114,31053,"ENSG00000006007","GDE1",51573
115,34338,"ENSG00000006015","C19orf60",55049
116,9118,"ENSG00000006016","CRLF1",9244
117,77599,"ENSG00000006025","OSBPL7",114881
118,25771,"ENSG00000006042","TMEM98",26022
119,30569,"ENSG00000006047","YBX2",51087
120,3858,"ENSG00000006059","KRT33A",3883
121,8900,"ENSG00000006062","MAP3K14",9020
122,6793,"ENSG00000006071","ABCC8",6833
123,6327,"ENSG00000006074","CCL18",6362
124,6313,"ENSG00000006075","CCL3",6348
125,11115,"ENSG00000006114","AP1GBP1",11276
126,10221,"ENSG00000006116","CACNG3",10368
127,34261,"ENSG00000006118","TMEM132A",54972
128,160,"ENSG00000006125","AP2B1",163
129,6823,"ENSG00000006128","TAC1",6863
130,9982,"ENSG00000006194","ZNF263",10127
131,6340,"ENSG00000006210","CX3CL1",6376
132,41410,"ENSG00000006282","SPATA20",64847
133,8834,"ENSG00000006283","CACNA1G",8913
134,30811,"ENSG00000006327","TNFRSF12A",51330
135,1738,"ENSG00000006377","DLX6",1750
136,4268,"ENSG00000006432","MAP3K9",4293
137,5866,"ENSG00000006451","RALA",5898
138,35256,"ENSG00000006453","BAIAP2L1",55971
139,56624,"ENSG00000006459","JHDM1D",80853
140,2100,"ENSG00000006468","ETV1",2115
141,35039,"ENSG00000006530","AGK",55750
142,,"ENSG00000006534","ALDH3B1",
143,34290,"ENSG00000006555","TTC22",55001
144,36433,"ENSG00000006576","PHTF2",57157
145,10197,"ENSG00000006606","CCL26",10344
146,9711,"ENSG00000006607","FARP2",9855
147,9938,"ENSG00000006611","USH1C",10083
148,54857,"ENSG00000006625","GGCT",79017
149,10768,"ENSG00000006634","DBF4",10926
150,6875,"ENSG00000006638","TBXA2R",6915
151,3455,"ENSG00000006652","IFRD1",3475
152,36170,"ENSG00000006659","LGALS14",56891
153,1343,"ENSG00000006695","COX10",1352
154,9427,"ENSG00000006704","GTF2IRD1",9569
155,33914,"ENSG00000006712","PAF1",54623
156,26817,"ENSG00000006715","VPS41",27072
157,9768,"ENSG00000006740","AC005277.1",9912
158,37988,"ENSG00000006744","ELAC2",60528
159,59625,"ENSG00000006747","SCIN",85477
160,411,"ENSG00000006756","ARSD",414
161,8176,"ENSG00000006757","PNPLA4",8228
162,8664,"ENSG00000006788","MYH13",8735
163,55405,"ENSG00000006831","ADIPOR2",79602
164,30746,"ENSG00000006837","CDKL3",51265
165,80994,"ENSG00000007001","UPP2",151531
166,10784,"ENSG00000007038","PRSS21",10942
167,37058,"ENSG00000007047","MARK4",57787
168,8765,"ENSG00000007062","PROM1",8842
169,77650,"ENSG00000007080","CCDC124",115098
170,59876,"ENSG00000007129","CEACAM21",90273
171,5016,"ENSG00000007168","PAFAH1B1",5048
172,4812,"ENSG00000007171","NOS2",4843
173,1758,"ENSG00000007174","DNAH9",1770
174,9559,"ENSG00000007202","KIAA0100",9703
175,8938,"ENSG00000007216","SLC13A2",9058
176,8456,"ENSG00000007237","GAS7",8522
177,54929,"ENSG00000007255","TRAPPC6A",79090
178,4120,"ENSG00000007264","MATK",4145
179,1079,"ENSG00000007306","CEACAM7",1087
180,969,"ENSG00000007312","CD79B",974
181,6294,"ENSG00000007314","SCN4A",6329
182,34168,"ENSG00000007341","ST7L",54879
183,8224,"ENSG00000007350","TKTL1",8277
184,5048,"ENSG00000007372","PAX6",5080
