,hgnc_symbol,ensembl_gene_id,ensembl_peptide_id
1,COPS2,ENSG00000166200,ENSP00000453546
2,COPS2,ENSG00000166200,ENSP00000373553
3,COPS2,ENSG00000166200,ENSP00000299259
4,COPS2,ENSG00000166200,ENSP00000443664
5,COPS2,ENSG00000166200,ENSP00000452944
6,COPS2,ENSG00000166200,ENSP00000453412
7,COPS2,ENSG00000166200,
8,DDX5,ENSG00000263077,
9,DDX5,ENSG00000263077,ENSP00000459637
10,DDX5,ENSG00000263077,ENSP00000460989
11,DDX5,ENSG00000263077,ENSP00000463384
12,DDX5,ENSG00000263077,ENSP00000463923
13,DDX5,ENSG00000263077,ENSP00000462191
14,DDX5,ENSG00000263077,ENSP00000464256
15,DDX5,ENSG00000263077,ENSP00000462513
16,DDX5,ENSG00000263077,ENSP00000464564
17,DDX5,ENSG00000263077,ENSP00000462596
18,DDX5,ENSG00000263077,ENSP00000462093
19,DDX5,ENSG00000263077,ENSP00000462587
20,DOCK3,ENSG00000260587,ENSP00000456616
21,RAD54L2,ENSG00000261443,
22,RAD54L2,ENSG00000261443,ENSP00000455669
23,RAD54L2,ENSG00000261443,ENSP00000455173
24,FURIN,ENSG00000140564,ENSP00000268171
25,FURIN,ENSG00000140564,ENSP00000452730
26,FURIN,ENSG00000140564,ENSP00000453212
27,FURIN,ENSG00000140564,ENSP00000453942
28,FURIN,ENSG00000140564,
29,RABGAP1,ENSG00000011454,ENSP00000414386
30,RABGAP1,ENSG00000011454,ENSP00000362751
31,RABGAP1,ENSG00000011454,
32,RABGAP1,ENSG00000011454,ENSP00000384119
33,RABGAP1,ENSG00000011454,ENSP00000416327
34,RABGAP1,ENSG00000011454,ENSP00000362747
35,DLL4,ENSG00000128917,
36,DLL4,ENSG00000128917,ENSP00000249749
37,ROCK1,ENSG00000067900,ENSP00000382697
38,ROCK1,ENSG00000067900,ENSP00000462004
39,ROCK1,ENSG00000067900,
40,RAE1,ENSG00000101146,ENSP00000379182
41,RAE1,ENSG00000101146,ENSP00000360286
42,RAE1,ENSG00000101146,ENSP00000432609
