gene,gene_gencodeV33,gene_id,chromosome,ASD72,ASD185,DD309,DD477,NDD373,NDD664,Satterstrom102,SCZ10,SCZ244,FDR_TADA_ASD,FDR_TADA_DD,FDR_TADA_NDD,p_TADA_ASD,p_TADA_DD,p_TADA_NDD,l10BF_ASD_PTV,l10BF_ASD_misB,l10BF_ASD_misA,l10BF_ASD_DEL,l10BF_ASD_DUP,l10BF_DD_PTV,l10BF_DD_misB,l10BF_DD_misA
MED13,MED13,ENSG00000108510,17,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.39E-07,0.00140044,8.05E-11,2.10E-10,2.67E-05,8.38E-13,6.671036698,0.362988212,0.062879054,0,0,0.689642894,0,2.252032884
NIPBL,NIPBL,ENSG00000164190,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,9.95E-06,0.014825475,2.83E-08,2.29E-08,0.000354337,3.60E-10,0,1.58622355,0.144206023,0,3.659043176,0,2.094021274,0
SMC3,SMC3,ENSG00000108055,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.158490005,1.89E-07,7.27E-09,0.003195632,2.14E-09,8.61E-11,0,1.440558763,0,0,0,0,6.407788885,0.151996256
CNOT1,CNOT1,ENSG00000125107,16,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.543842194,0.000210396,4.25E-05,0.041293437,3.50E-06,7.68E-07,0,0.62748648,0,0,0,2.835347424,1.000775026,0
RLF,RLF,ENSG00000117000,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.621283877,0.173824587,0.088419333,0.063763241,0.007029075,0.004353886,0.46361649,0,0.023186994,0,0,1.059781101,0,0
PCF11,PCF11,ENSG00000165494,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.842561675,0.533700033,0.58076077,0.330180032,0.048864668,0.1150819,0,0.040708187,0.023630191,0,0,0,0.320461041,0
FNDC3B,FNDC3B,ENSG00000075420,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888479981,0.701929324,0.843054687,0.617536026,0.111504248,0.632797672,0,0,0,0,0,0,0,0
RSF1,RSF1,ENSG00000048649,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.88848534,0.70202354,0.843063624,0.617593548,0.111561585,0.632857263,0,0,0,0,0,0,0,0
NCKAP1,NCKAP1,ENSG00000061676,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.008298073,0.702117685,0.00461171,5.38E-05,0.111618922,0.000126706,0.534794598,0.807107697,0,1.206511896,0.050489421,0,0,0
KDM2A,KDM2A,ENSG00000173120,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.842018667,0.702211758,0.774568548,0.328182806,0.111676259,0.351624038,0,0,0.065216759,0,0,0,0,0
